"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Vi (Vodafone Idea) Customer Care Number | Vi Complaint & Helpline Number","3","0","Verify Form elements are present","0"
"0","","3","Get your Vi Sim Online and Enjoy Free Delivery | Choose Your Plan Today","0","0","Verify Link elements are present","0"
"0","","0","Vi Data Packs - Mobile Data Recharge Plans | Vi India","3","0","Verify Form elements are present","0"
"0","","0","Get Free Night Data & Binge Your Shows with Hero Unlimited | Vi-5G","3","0","Verify Input elements are present","0"
"0","","0","Vi FASTag Recharge Online | Instant Recharge","3","0","Verify Form elements are present","0"
"0","","0","Get Vi New Postpaid SIM Card Online – Buy Mobile SIM Card In india","3","0","Verify page loads for regression","0"
"0","","3","Vi International Roaming Packs (2026) - Stay Connected Abroad | Vi India","0","0","Verify Link elements are present","0"
"0","","0","Pay Vi Postpaid Bill Online - Quick & Secure | Vi India","3","0","Verify Form elements are present","0"
"0","","3","Vi Blog | Get Latest News & Information on Vi Network","0","0","Verify Link elements are present","0"
"0","","0","Vi Unlimited Data, Calls & Internet Plans – Choose Vi Unlimited Plans Today","3","0","Verify Input elements are present","0"
"0","","0","Vi Official Videos: Tips, Products & Updates","3","0","Verify Form elements are present","0"
"0","","0","Plan Selection Page","3","0","Verify Form elements are present","0"
"1","","2","Buy a New Vi 4g SIM Card Online and Get a Free Delivery","0","0","Verify Link elements are present","0"
"0","","0","Get Free Night Data & Binge Your Shows with Hero Unlimited | Vi-5G","3","0","Verify Button elements are present","0"
"0","","3","Get a New Vi Prepaid SIM Card in 3 Simple Steps - Buy New Sim","0","0","Verify Button elements are present","0"
"0","","0","Online Mobile Recharge - Best Prepaid Plans & Top-Ups | Vi India","3","0","Verify Form elements are present","0"
"0","","0","Vi Prepaid Talktime and Top-Up Plans| Easy Online Mobile Recharge","3","0","Verify page loads for regression","0"
"0","","0","Vi International Roaming Packs (2026) - Stay Connected Abroad | Vi India","3","0","Verify Button elements are present","0"
"0","","0","Best Vi SMS Packs and SMS Plans for Prepaid Recharge|Vi India","3","0","Verify Heading elements are present","0"
"0","","0","Vi Postpaid Plans with Unlimited Calls & Data | Vi India","3","0","Verify Table elements are present","0"
"0","","0","Vi (Vodafone Idea) Careers | Explore Career Opportunities at Vodafone Idea (Vi)","3","0","Verify Button elements are present","0"
"0","","0","Vi Unlimited Data, Calls & Internet Plans – Choose Vi Unlimited Plans Today","3","0","Verify Button elements are present","0"
"0","","0","Vi Postpaid Auto Bill Payment - Setup & Manage Automatic Payments","3","0","Verify Button elements are present","0"
"0","","3","Buy Fancy Numbers Online - Choose Premium VIP Number or Free Options |Vi India","0","0","Verify Menu elements are present","0"
"0","","0","Credit Card Bill Payment – Quick & Secure Online Bill Payments | Vi","3","0","Verify Form elements are present","0"
"1","","0","Enjoy Netflix Subscription Plans with Vi at No Extra Cost","2","0","Verify page loads for regression","0"
"0","","0","Get Free Night Data & Binge Your Shows with Hero Unlimited | Vi-5G","3","0","Verify Form elements are present","0"
"0","","3","Vi Product & Services FAQs, Frequently Asked Questions","0","0","Verify Link elements are present","0"
"0","","0","Vi Prepaid Talktime and Top-Up Plans| Easy Online Mobile Recharge","3","0","Verify Input elements are present","0"
"0","","3","Port SIM Number to Vi | Enjoy Vi Benefits with Easy MNP process","0","0","Verify Input elements are present","0"
"0","","0","Best Vi SMS Packs and SMS Plans for Prepaid Recharge|Vi India","3","0","Verify page loads for regression","0"
"0","","0","Vi Loan EMI Payment | Quick & Secure Online Payment","3","0","Verify Input elements are present","0"
"0","","3","Enjoy Netflix Subscription Plans with Vi at No Extra Cost","0","0","Verify Link elements are present","0"
"0","","3","Get Vi New Postpaid SIM Card Online – Buy Mobile SIM Card In india","0","0","Verify Link elements are present","0"
"0","","0","Vi Postpaid Plans with Unlimited Calls & Data | Vi India","3","0","Verify page loads for regression","0"
"0","","0","Vi Blog | Get Latest News & Information on Vi Network","3","0","Verify Input elements are present","0"
"0","","3","About Vi - India's Largest Telecom Company","0","0","Verify Input elements are present","0"
"0","","0","Vi Unlimited Data, Calls & Internet Plans – Choose Vi Unlimited Plans Today","3","0","Verify page loads for regression","0"
"0","","3","Port SIM Number to Vi | Enjoy Vi Benefits with Easy MNP process","0","0","Verify Link elements are present","0"
"0","","3","Get Free Night Data & Binge Your Shows with Hero Unlimited | Vi-5G","0","0","Verify Menu elements are present","0"
"0","","0","Register for Postpaid EBill Online | Vi","3","0","Verify Input elements are present","0"
"0","","0","Vi Data Packs - Mobile Data Recharge Plans | Vi India","3","0","Verify Heading elements are present","0"
"0","","3","Buy Fancy Numbers Online - Choose Premium VIP Number or Free Options |Vi India","0","0","Verify Input elements are present","0"
"0","","3","Get Vi New Postpaid SIM Card Online – Buy Mobile SIM Card In india","0","0","Verify Input elements are present","0"
